City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Chulman,RU,56.85,124.91,42.85,91,7,1.41,clear sky
173,Sao Joao Da Barra,BR,-21.64,-41.05,86.09,55,0,14.83,clear sky
174,Asyut,EG,27.18,31.18,89.78,22,0,12.62,clear sky
175,Brae,GB,60.40,-1.35,50.4,94,100,22.17,moderate rain
176,San Patricio,US,28.02,-97.52,93.09,40,7,16.91,clear sky
177,Quilmana,PE,-12.95,-76.38,67.48,63,20,7.7,few clouds
178,Barrow,US,71.29,-156.79,30.22,93,100,5.75,mist
179,Katsuura,JP,35.13,140.30,69.82,91,100,7.58,light rain
180,Macusani,PE,-14.08,-70.43,47.17,41,60,12.26,broken clouds
181,Ajaccio,FR,42.00,8.92,80.58,39,0,5.75,clear sky
182,San Matias,BO,-16.37,-58.40,72.66,63,97,2.21,overcast clouds
183,Mvuma,ZW,-19.28,30.53,56.07,53,0,5.1,clear sky
184,Scarborough,GB,54.28,-0.40,57.16,69,100,10.42,overcast clouds
185,Narasannapeta,IN,18.42,84.05,83.3,82,100,9.33,overcast clouds
186,Skelleftea,SE,64.75,20.95,53.01,89,100,5.75,drizzle
187,Eston,CA,51.15,-108.75,81.91,60,100,13.67,overcast clouds
188,Launceston,AU,-41.45,147.17,42.44,100,49,8.05,scattered clouds
189,Anito,PH,12.45,125.29,77.22,89,73,3.2,broken clouds
190,Leganes,ES,40.33,-3.76,98.24,25,0,12.66,clear sky
191,Narsaq,GL,60.92,-46.05,62.82,65,100,3.8,overcast clouds
192,Coquimbo,CL,-29.95,-71.34,58.73,67,0,13.8,clear sky
193,Ayagoz,KZ,47.97,80.44,57.7,76,91,1.19,overcast clouds
194,Bethel,US,41.37,-73.41,67.59,62,75,12.66,broken clouds
195,Esperance,AU,-33.87,121.90,55.0,72,42,23.26,scattered clouds
196,Pangnirtung,CA,66.15,-65.71,42.8,75,20,13.8,few clouds
197,Sooke,CA,48.37,-123.73,61.09,74,94,25.32,overcast clouds
198,Luderitz,NA,-26.65,15.16,59.05,85,7,9.69,clear sky
199,San Pedro,PH,14.35,121.02,81.63,84,20,2.3,few clouds
200,Los Llanos De Aridane,ES,28.66,-17.92,71.13,79,20,19.57,few clouds
201,Flin Flon,CA,54.77,-101.86,69.64,49,75,11.5,broken clouds
202,Ucluelet,CA,48.93,-125.55,56.08,90,100,2.59,overcast clouds
203,Cordoba,AR,-31.41,-64.18,72.75,13,0,21.85,clear sky
204,Qui Nhon,VN,13.77,109.23,80.92,77,7,4.85,clear sky
205,Careiro Da Varzea,BR,-3.20,-59.81,90.23,62,100,1.32,overcast clouds
206,Kavaratti,IN,10.57,72.64,81.79,69,100,11.81,overcast clouds
207,Zaozerne,UA,45.16,33.28,68.11,74,98,6.46,overcast clouds
208,Kiama,AU,-34.68,150.87,57.99,83,55,1.99,broken clouds
209,Roxana,CR,10.28,-83.75,83.03,82,93,3.62,overcast clouds
210,Mao,ES,39.89,4.27,77.56,78,0,10.36,clear sky
211,The Valley,AI,18.22,-63.06,87.66,66,20,13.8,few clouds
212,Boguchany,RU,58.38,97.45,59.09,93,100,3.98,overcast clouds
213,Dakar,SN,14.69,-17.44,85.08,74,20,6.91,thunderstorm
214,Cabo San Lucas,MX,22.89,-109.91,87.19,65,20,16.11,few clouds
215,Haines Junction,CA,60.75,-137.51,62.55,39,79,3.44,broken clouds
216,Mar Del Plata,AR,-38.00,-57.56,56.08,45,0,13.8,clear sky
217,Slave Lake,CA,55.28,-114.77,57.18,94,100,10.36,overcast clouds
218,Zyryanka,RU,65.75,150.85,48.96,74,5,1.3,clear sky
219,Bilma,NE,18.69,12.92,94.71,10,0,11.45,clear sky
220,Mana,GF,5.66,-53.78,82.18,73,36,9.78,scattered clouds
221,Saldanha,ZA,-33.01,17.94,55.45,69,12,9.42,few clouds
222,Port Moresby,PG,-9.44,147.18,76.42,94,75,5.75,broken clouds
223,Buta,CD,2.79,24.73,68.49,99,100,1.86,overcast clouds
224,Vestmannaeyjar,IS,63.44,-20.27,51.64,73,14,29.21,few clouds
225,Nalgonda,IN,17.05,79.27,84.61,69,100,10.27,overcast clouds
226,Bone,DE,51.97,12.14,83.28,56,10,4.68,clear sky
227,Gat,IL,31.61,34.76,77.81,100,0,6.2,clear sky
228,Grand Gaube,MU,-20.01,57.66,69.39,74,23,5.01,few clouds
229,Xiongyue,CN,40.18,122.12,66.78,91,10,2.71,clear sky
230,Teahupoo,PF,-17.83,-149.27,75.16,81,27,18.81,light rain
231,Xingcheng,CN,40.62,120.72,66.24,95,6,3.22,clear sky
232,Nsanje,MW,-16.92,35.26,63.54,78,0,2.24,clear sky
233,Priamurskiy,RU,48.52,134.90,59.41,96,71,5.73,broken clouds
234,Filingue,NE,14.35,3.32,94.48,32,23,0.56,few clouds
235,Provideniya,RU,64.38,-173.30,54.19,47,12,3.85,few clouds
236,Itoman,JP,26.12,127.67,80.98,100,100,9.22,overcast clouds
237,Tokmak,UA,47.25,35.71,64.56,70,54,7.2,broken clouds
238,Zhumadian,CN,32.98,114.03,79.36,64,100,3.67,overcast clouds
239,Beaverlodge,CA,55.22,-119.44,54.75,89,100,5.06,overcast clouds
240,Tigil,RU,57.80,158.67,45.64,89,100,6.87,overcast clouds
241,Faanui,PF,-16.48,-151.75,79.56,76,11,19.8,light rain
242,At-Bashi,KG,41.17,75.81,48.04,85,100,2.1,overcast clouds
243,Guiuan,PH,11.03,125.72,82.83,76,98,5.08,overcast clouds
244,Vila Velha,BR,-20.33,-40.29,87.75,58,0,8.05,clear sky
245,Nanakuli,US,21.39,-158.15,81.45,69,0,3.44,clear sky
246,Copiapo,CL,-27.37,-70.33,53.29,26,5,6.4,clear sky
247,Nemuro,JP,43.32,145.57,52.81,96,100,2.71,overcast clouds
248,Atbasar,KZ,51.80,68.33,68.7,57,9,6.15,clear sky
249,Lerwick,GB,60.15,-1.15,50.0,93,100,27.49,moderate rain
250,La Ronge,CA,55.10,-105.28,62.85,63,75,9.22,broken clouds
251,Ribeira Grande,PT,38.52,-28.70,70.2,78,40,13.8,scattered clouds
252,Sovetskiy,RU,61.36,63.58,61.92,86,100,2.71,light rain
253,Teslic,BA,44.61,17.86,63.16,73,86,2.48,overcast clouds
254,Lagoa,PT,39.05,-27.98,64.47,85,98,17.67,overcast clouds
255,Dikson,RU,73.51,80.55,29.55,93,17,11.25,few clouds
256,Moron,AR,-34.65,-58.62,62.06,34,12,9.17,few clouds
257,Lloydminster,CA,53.28,-110.00,66.42,88,75,19.57,broken clouds
258,Nikolskoye,RU,59.70,30.79,57.79,98,100,7.4,overcast clouds
259,Jambi,ID,-1.60,103.62,73.09,98,59,2.37,broken clouds
260,Tual,ID,-5.67,132.75,81.73,79,100,17.67,overcast clouds
261,Praia Da Vitoria,PT,38.73,-27.07,68.25,77,75,15.7,broken clouds
262,Karera,IN,25.47,78.15,81.25,75,35,4.65,light rain
263,Merauke,ID,-8.47,140.33,76.89,91,98,13.76,overcast clouds
264,Tautira,PF,-17.73,-149.15,77.49,81,22,17.29,light rain
265,Linhares,BR,-19.39,-40.07,85.41,33,0,2.8,clear sky
266,Acapulco,MX,16.86,-99.89,84.02,65,100,9.22,overcast clouds
267,Tamandare,BR,-8.76,-35.10,79.21,75,34,6.2,scattered clouds
268,Atlantic City,US,39.36,-74.42,74.17,51,75,18.41,broken clouds
269,Bailesti,RO,44.02,23.35,67.48,61,14,7.02,few clouds
270,Taybad,IR,34.74,60.78,80.37,17,0,10.4,clear sky
271,Dabat,ET,12.98,37.77,56.73,86,99,4.12,overcast clouds
272,Marzuq,YE,14.40,46.47,81.41,43,93,5.82,overcast clouds
273,Huarmey,PE,-10.07,-78.15,68.31,65,7,13.85,clear sky
274,Atar,MR,20.52,-13.05,98.69,26,79,15.1,broken clouds
275,Mount Isa,AU,-20.73,139.50,62.37,55,6,6.91,clear sky
276,Grindavik,IS,63.84,-22.43,52.27,76,0,13.8,clear sky
277,Pacifica,US,37.61,-122.49,71.71,70,20,19.57,few clouds
278,Kamenka,RU,51.32,42.77,58.82,88,18,4.23,few clouds
279,Okhotsk,RU,59.38,143.30,43.65,92,100,7.9,overcast clouds
280,Vanimo,PG,-2.67,141.30,76.62,88,100,5.06,overcast clouds
281,Yeppoon,AU,-23.13,150.73,46.18,73,0,7.47,clear sky
282,Tulun,RU,54.56,100.58,52.81,89,59,3.6,broken clouds
283,Sayhat,SA,26.49,50.04,91.6,47,4,7.05,clear sky
284,Caborca,MX,30.58,-111.10,92.28,28,52,12.21,broken clouds
285,Bathsheba,BB,13.22,-59.52,88.41,62,75,17.27,broken clouds
286,Ararangua,BR,-28.93,-49.49,57.61,57,0,7.23,clear sky
287,Sunbury,AU,-37.58,144.73,42.82,96,0,10.36,clear sky
288,Sur,OM,22.57,59.53,86.25,74,0,18.43,clear sky
289,Tilichiki,RU,60.47,166.10,43.83,93,100,1.7,overcast clouds
290,Port Elizabeth,ZA,-33.92,25.57,59.09,87,100,11.5,moderate rain
291,Gushikawa,JP,26.35,127.87,80.19,89,100,4.61,overcast clouds
292,Alibag,IN,18.64,72.88,84.27,83,100,10.47,overcast clouds
293,Valparaiso,CL,-33.04,-71.63,66.43,36,0,9.22,clear sky
294,Longyearbyen,SJ,78.22,15.64,40.84,81,75,14.97,broken clouds
295,La Sarre,CA,48.80,-79.20,58.66,38,0,17.63,clear sky
296,Macau,MO,22.20,113.55,84.0,94,40,9.22,scattered clouds
297,Saint George,US,37.10,-113.58,91.63,12,0,18.41,clear sky
298,Alice Springs,AU,-23.70,133.88,53.15,54,100,5.75,overcast clouds
299,Mitu,CO,1.20,-70.17,80.35,87,66,2.68,light rain
300,Bukoba,TZ,-1.33,31.81,68.2,67,15,2.57,few clouds
301,Viransehir,TR,37.24,39.76,90.12,18,0,7.31,clear sky
302,Hervey Bay,AU,-25.30,152.85,59.72,83,6,14.2,clear sky
303,Ambilobe,MG,-13.20,49.05,69.6,88,1,2.77,clear sky
304,Naze,JP,28.37,129.48,72.52,90,100,6.91,overcast clouds
305,Belyy Yar,RU,53.60,91.39,55.85,82,0,6.71,clear sky
306,Aklavik,CA,68.22,-135.01,57.2,54,75,6.91,broken clouds
307,Halifax,CA,44.65,-63.57,67.51,89,29,10.36,scattered clouds
308,Talara,PE,-4.58,-81.27,75.96,57,0,14.97,clear sky
309,Cayenne,GF,4.93,-52.33,86.04,10,75,11.5,broken clouds
310,Talnakh,RU,69.49,88.40,49.21,55,10,8.95,clear sky
311,Santa Ana,US,33.75,-117.87,81.41,54,40,5.75,scattered clouds
312,Bichura,RU,50.59,107.60,58.17,95,100,2.3,moderate rain
313,George,ZA,-33.96,22.46,51.35,87,40,4.61,scattered clouds
314,Bubaque,GW,11.28,-15.83,76.5,81,100,10.18,light rain
315,Srednekolymsk,RU,67.45,153.68,48.25,59,6,2.37,clear sky
316,Bara,NG,10.37,10.73,77.09,69,57,6.44,broken clouds
317,Norman Wells,CA,65.28,-126.83,66.24,42,75,9.22,broken clouds
318,Povenets,RU,62.85,34.83,50.67,84,98,7.31,overcast clouds
319,Saint-Georges,GD,12.06,-61.75,85.68,66,20,23.02,few clouds
320,Chodziez,PL,52.99,16.92,71.8,69,12,9.51,few clouds
321,Ayna,PE,-12.65,-73.92,72.75,37,11,5.44,few clouds
322,Marsa Matruh,EG,31.35,27.25,75.4,83,40,14.97,scattered clouds
323,Sungaipenuh,ID,-2.08,101.38,63.68,97,96,2.51,overcast clouds
324,Carnarvon,AU,-24.87,113.63,67.35,63,100,13.82,overcast clouds
325,Dedza,MW,-14.38,34.33,51.53,79,1,1.05,clear sky
326,Umm Kaddadah,SD,13.60,26.69,96.22,14,47,7.07,scattered clouds
327,Pontianak,ID,-0.03,109.33,76.98,94,40,0.0,scattered clouds
328,Kangavar,IR,34.50,47.97,75.83,11,0,0.69,clear sky
329,Ambon,ID,-3.70,128.18,78.24,15,40,3.44,scattered clouds
330,Makakilo City,US,21.35,-158.09,80.01,64,0,12.66,clear sky
331,Arlit,NE,18.74,7.39,98.55,12,90,8.81,overcast clouds
332,North Platte,US,41.12,-100.77,99.12,22,0,20.0,clear sky
333,Olafsvik,IS,64.89,-23.71,49.24,70,100,11.9,overcast clouds
334,Balabac,PH,7.99,117.06,80.6,76,80,2.68,broken clouds
335,Itarema,BR,-2.92,-39.92,81.43,76,100,12.46,overcast clouds
336,Nome,US,64.50,-165.41,64.17,58,100,1.72,overcast clouds
337,Shimanovsk,RU,52.00,127.70,54.39,90,100,5.53,overcast clouds
338,Tocache,PE,-8.18,-76.51,88.27,46,34,1.41,scattered clouds
339,Tara,RU,56.89,74.37,56.64,93,55,2.35,broken clouds
340,Goya,AR,-29.14,-59.26,62.17,32,7,5.28,clear sky
341,Ushtobe,KZ,45.25,77.98,69.69,29,0,6.96,clear sky
342,Mariel,CU,22.99,-82.75,87.26,67,93,13.47,light rain
343,Melbu,NO,68.50,14.83,48.02,87,20,4.61,light rain
344,Wanaka,NZ,-44.70,169.15,31.1,97,74,5.01,broken clouds
345,Batagay,RU,67.63,134.63,57.42,50,100,3.09,overcast clouds
346,Antofagasta,CL,-23.65,-70.40,61.88,69,63,5.57,broken clouds
347,Colesberg,ZA,-30.72,25.10,49.12,48,100,8.86,overcast clouds
348,Yerbogachen,RU,61.28,108.01,60.22,55,100,5.73,overcast clouds
349,Broken Hill,AU,-31.95,141.43,48.58,73,100,7.0,overcast clouds
350,Shambu,ET,9.57,37.10,54.01,91,92,3.44,light rain
351,Karlstad,SE,59.38,13.50,64.96,29,7,12.66,clear sky
352,Touros,BR,-5.20,-35.46,80.89,69,67,12.03,broken clouds
353,Visby,SE,57.64,18.30,68.22,56,46,13.8,scattered clouds
354,Yenagoa,NG,4.92,6.26,74.01,95,100,4.36,moderate rain
355,Laa,SL,8.08,-10.77,72.36,98,51,3.18,moderate rain
356,Shakawe,BW,-18.37,21.85,61.02,36,0,4.45,clear sky
357,Bandarbeyla,SO,9.49,50.81,77.94,71,98,28.9,overcast clouds
358,Gao,ML,16.64,1.64,96.75,26,28,1.72,scattered clouds
359,Taloqan,AF,36.74,69.53,77.36,20,16,6.42,few clouds
360,Tommot,RU,58.96,126.29,48.11,86,89,2.06,overcast clouds
361,Teya,RU,60.38,92.63,54.46,96,100,0.96,overcast clouds
362,Codrington,AU,-38.27,141.97,43.48,92,22,9.62,few clouds
363,Laguna,US,38.42,-121.42,75.06,46,40,3.0,scattered clouds
364,Broome,US,42.25,-75.83,57.88,69,98,8.01,overcast clouds
