City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Hasaki,JP,2022-06-13 17:52:16,35.7333,140.8333,61.29,75,100,14.43
123,Bengkulu,ID,2022-06-13 17:52:16,-3.8004,102.2655,75.88,88,97,3.96
124,Shingu,JP,2022-06-13 17:52:17,33.7333,135.9833,65.37,95,100,8.16
125,Khatanga,RU,2022-06-13 17:52:17,71.9667,102.5,60.53,48,95,7.0
126,Zyryanka,RU,2022-06-13 17:52:18,65.75,150.85,55.08,50,0,20.27
127,Husavik,IS,2022-06-13 17:52:18,66.0449,-17.3389,54.16,71,99,8.5
128,Rawson,AR,2022-06-13 17:50:50,-43.3002,-65.1023,62.19,23,100,7.38
129,Fougamou,GA,2022-06-13 17:52:19,-1.2154,10.5838,75.25,89,99,1.92
130,Taoudenni,ML,2022-06-13 17:52:20,22.6783,-3.9836,108.36,11,39,7.61
131,Wewak,PG,2022-06-13 17:52:21,-3.5534,143.6268,78.96,85,16,7.96
132,Cabo San Lucas,MX,2022-06-13 17:52:21,22.8909,-109.9124,90.61,60,25,10.36
133,Ballina,AU,2022-06-13 17:52:22,-28.8667,153.5667,50.02,99,58,4.41
134,Port Alfred,ZA,2022-06-13 17:52:22,-33.5906,26.891,70.18,49,100,12.86
135,Damara,CF,2022-06-13 17:49:10,4.9608,18.7035,69.42,96,100,2.01
136,Cidreira,BR,2022-06-13 17:52:24,-30.1811,-50.2056,60.35,72,57,7.94
137,Urubicha,BO,2022-06-13 17:52:24,-15.3833,-62.95,78.64,16,0,2.15
138,Baffa,PK,2022-06-13 17:53:24,34.4378,73.2194,76.35,41,12,6.73
139,Lebu,CL,2022-06-13 17:53:25,-37.6167,-73.65,54.66,77,100,8.21
140,Bang Saphan,TH,2022-06-13 17:53:26,11.2126,99.5117,77.49,89,56,4.5
141,Bluff,NZ,2022-06-13 17:53:27,-46.6,168.3333,43.81,74,100,36.6
142,Touros,BR,2022-06-13 17:53:28,-5.1989,-35.4608,82.83,64,15,13.58
143,North Bend,US,2022-06-13 17:53:30,43.4065,-124.2243,58.15,85,75,4.61
144,Kisangani,CD,2022-06-13 17:53:30,0.5167,25.2,75.2,78,60,1.59
145,Tuktoyaktuk,CA,2022-06-13 17:53:32,69.4541,-133.0374,33.8,100,100,9.22
146,Poninka,UA,2022-06-13 17:53:34,50.1849,27.5363,67.53,68,63,4.0
147,Qaanaaq,GL,2022-06-13 17:53:34,77.484,-69.3632,30.9,60,1,2.46
148,Ngunguru,NZ,2022-06-13 17:53:35,-35.6167,174.5,55.99,67,4,13.38
149,Ayagoz,KZ,2022-06-13 17:53:35,47.9714,80.4392,61.52,78,49,1.41
150,Marrakesh,MA,2022-06-13 17:51:59,31.6315,-8.0083,95.07,23,75,17.27
151,Yerbogachen,RU,2022-06-13 17:53:37,61.2767,108.0108,52.57,63,91,1.23
152,General Pico,AR,2022-06-13 17:53:38,-35.6566,-63.7568,70.2,19,66,20.27
153,Tessalit,ML,2022-06-13 17:53:39,20.1986,1.0114,103.53,12,58,4.54
154,Tiangua,BR,2022-06-13 17:53:32,-3.7322,-40.9917,79.45,55,67,6.91
