City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Acapulco,MX,84.02,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
267,Tamandare,BR,79.21,scattered clouds,-8.76,-35.1,Pousada 100 Passos
268,Atlantic City,US,74.17,broken clouds,39.36,-74.42,Resorts Casino Hotel
270,Taybad,IR,80.37,clear sky,34.74,60.78,لی پوش jean center
272,Marzuq,YE,81.41,overcast clouds,14.4,46.47,
277,Pacifica,US,71.71,few clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
280,Vanimo,PG,76.62,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
285,Bathsheba,BB,88.41,broken clouds,13.22,-59.52,Atlantis Hotel
288,Sur,OM,86.25,clear sky,22.57,59.53,Sur Plaza Hotel
291,Gushikawa,JP,80.19,overcast clouds,26.35,127.87,Kirari Guest House
292,Alibag,IN,84.27,overcast clouds,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
296,Macau,MO,84.0,scattered clouds,22.2,113.55,Grand Emperor Hotel
299,Mitu,CO,80.35,light rain,1.2,-70.17,
304,Naze,JP,72.52,overcast clouds,28.37,129.48,Shishime Hotel
308,Talara,PE,75.96,clear sky,-4.58,-81.27,Hostal Oro Negro
309,Cayenne,GF,86.04,broken clouds,4.93,-52.33,Hôtel Le Dronmi
311,Santa Ana,US,81.41,scattered clouds,33.75,-117.87,Main Street Inn
314,Bubaque,GW,76.5,light rain,11.28,-15.83,"Casa Dora, Bubaque"
316,Bara,NG,77.09,broken clouds,10.37,10.73,
319,Saint-Georges,GD,85.68,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
320,Chodziez,PL,71.8,few clouds,52.99,16.92,Łazienki Chodzieskie
321,Ayna,PE,72.75,few clouds,-12.65,-73.92,
322,Marsa Matruh,EG,75.4,scattered clouds,31.35,27.25,Beau Site
327,Pontianak,ID,76.98,scattered clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
328,Kangavar,IR,75.83,clear sky,34.5,47.97,خانه معلم کنگاور
329,Ambon,ID,78.24,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
330,Makakilo City,US,80.01,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
334,Balabac,PH,80.6,broken clouds,7.99,117.06,Sing and Swing Lodge
335,Itarema,BR,81.43,overcast clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
338,Tocache,PE,88.27,scattered clouds,-8.18,-76.51,Marylin Trevejos Rojas
342,Mariel,CU,87.26,light rain,22.99,-82.75,Casa De Alojamiento Marilda
352,Touros,BR,80.89,broken clouds,-5.2,-35.46,INN NEW HORIZON
354,Yenagoa,NG,74.01,moderate rain,4.92,6.26,Amba Hotels Limited
355,Laa,SL,72.36,moderate rain,8.08,-10.77,
357,Bandarbeyla,SO,77.94,overcast clouds,9.49,50.81,JABIR HOTEL
359,Taloqan,AF,77.36,few clouds,36.74,69.53,ایستگاه خواجه غار
363,Laguna,US,75.06,scattered clouds,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
365,Guerrero Negro,MX,73.09,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
366,Guiyang,CN,70.29,mist,26.58,106.72,Guo Tai Hotel Guiyang
367,Elizabeth City,US,88.02,scattered clouds,36.29,-76.25,Hampton Inn Elizabeth City
368,Chifeng,CN,70.57,few clouds,42.27,118.96,Junyu Tiancheng Hotel
369,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,hotel la terminal
370,Faro,PT,75.18,clear sky,37.02,-7.93,Hotel Faro & Beach Club
380,Shepsi,RU,70.23,clear sky,44.04,39.15,Otel' Chayka
388,Clarksville,US,86.29,clear sky,36.53,-87.36,Riverview Inn
390,Matara,LK,77.65,overcast clouds,5.95,80.54,Amaloh Boutique Resort
391,Jiazi,CN,79.68,overcast clouds,22.88,116.07,Hotel Jin Hao
394,Sambava,MG,72.09,light rain,-14.27,50.17,Melrose
395,Daoukro,CI,72.97,overcast clouds,7.06,-3.96,Komenan brou roseline
397,Aloleng,PH,82.63,overcast clouds,16.13,119.78,Steve Walden and Emma Sison-Walden Residence
398,Djambala,CG,72.63,overcast clouds,-2.54,14.75,Auberge Chez Les Emmanuelles
399,Jiaojiang,CN,75.0,overcast clouds,28.68,121.44,Fangyuan Hotel
401,Greeneville,US,82.92,clear sky,36.16,-82.83,General Morgan Inn and Conference Center
404,Korla,CN,77.0,overcast clouds,41.76,86.15,Gulisitan Hotel
